# xam.xex: 182 function imports (ordinal -> name -> thunk VA)
0x0001 NetDll_WSAStartup @0x832F0A94
0x0002 NetDll_WSACleanup @0x832F0AA4
0x0003 NetDll_socket @0x832F0AB4
0x0004 NetDll_closesocket @0x832F0AC4
0x0005 NetDll_shutdown @0x832F0AD4
0x0006 NetDll_ioctlsocket @0x832F0AE4
0x0007 NetDll_setsockopt @0x832F0AF4
0x0008 NetDll_getsockopt @0x832F0B04
0x0009 NetDll_getsockname @0x832F0B14
0x000a NetDll_getpeername @0x832F0B24
0x000b NetDll_bind @0x832F0B34
0x000c NetDll_connect @0x832F0B44
0x000d NetDll_listen @0x832F0B54
0x000e NetDll_accept @0x832F0B64
0x000f NetDll_select @0x832F0B74
0x0010 NetDll_WSAGetOverlappedResult @0x832F0B84
0x0011 NetDll_WSACancelOverlappedIO @0x832F0B94
0x0012 NetDll_recv @0x832F0BA4
0x0013 NetDll_WSARecv @0x832F0BB4
0x0014 NetDll_recvfrom @0x832F0BC4
0x0015 NetDll_WSARecvFrom @0x832F0BD4
0x0016 NetDll_send @0x832F0BE4
0x0017 NetDll_WSASend @0x832F0BF4
0x0018 NetDll_sendto @0x832F0C04
0x0019 NetDll_WSASendTo @0x832F0C14
0x001a NetDll_inet_addr @0x832F0C34
0x001b NetDll_WSAGetLastError @0x832F0C44
0x001c NetDll_WSASetLastError @0x832F0C54
0x001d NetDll_WSACreateEvent @0x832F0C64
0x001e NetDll_WSACloseEvent @0x832F0C74
0x001f NetDll_WSASetEvent @0x832F0C84
0x0020 NetDll_WSAResetEvent @0x832F0C94
0x0021 NetDll_WSAWaitForMultipleEvents @0x832F0CA4
0x0022 NetDll___WSAFDIsSet @0x832F0CB4
0x0023 NetDll_WSAEventSelect @0x832F0C24
0x0033 NetDll_XNetStartup @0x832F0884
0x0034 NetDll_XNetCleanup @0x832F08A4
0x0035 NetDll_XNetRandom @0x832F08B4
0x0036 NetDll_XNetCreateKey @0x832F08C4
0x0037 NetDll_XNetRegisterKey @0x832F08D4
0x0038 NetDll_XNetUnregisterKey @0x832F08E4
0x0039 NetDll_XNetXnAddrToInAddr @0x832F08F4
0x003a NetDll_XNetServerToInAddr @0x832F0904
0x003c NetDll_XNetInAddrToXnAddr @0x832F0914
0x003e NetDll_XNetInAddrToString @0x832F0924
0x003f NetDll_XNetUnregisterInAddr @0x832F0934
0x0040 NetDll_XNetXnAddrToMachineId @0x832F0944
0x0041 NetDll_XNetConnect @0x832F0954
0x0042 NetDll_XNetGetConnectStatus @0x832F0964
0x0045 NetDll_XNetQosListen @0x832F0974
0x0046 NetDll_XNetQosLookup @0x832F0984
0x0048 NetDll_XNetQosRelease @0x832F0994
0x0049 NetDll_XNetGetTitleXnAddr @0x832F09A4
0x004b NetDll_XNetGetEthernetLinkStatus @0x832F09B4
0x0069 NetDll_XnpGetConfigStatus @0x832F0CC4
0x0135 XNetLogonGetMachineID @0x832F0A24
0x0136 XNetLogonGetTitleID @0x832F0A34
0x0190 XamInputGetCapabilities @0x832F1874
0x0191 XamInputGetState @0x832F1884
0x0192 XamInputSetState @0x832F1894
0x0195 XamInputRawState @0x832F1A44
0x01a0 XamEnableInactivityProcessing @0x832F0F34
0x01a1 XamResetInactivity @0x832F0F44
0x01a4 XamLoaderLaunchTitle @0x832F0CF4
0x01a6 XamLoaderSetLaunchData @0x832F0754
0x01a7 XamLoaderGetLaunchDataSize @0x832F0774
0x01a8 XamLoaderGetLaunchData @0x832F0764
0x01a9 XamLoaderTerminateTitle @0x832F0F74
0x01af XamTaskSchedule @0x832F0FB4
0x01b1 XamTaskCloseHandle @0x832F0FA4
0x01b3 XamTaskShouldExit @0x832F0F94
0x01cf XamGetCurrentTitleId @0x832F0824
0x01da XCustomSetDynamicActions @0x832F0784
0x01dc XCustomGetLastActionPressEx @0x832F07B4
0x01dd XCustomRegisterDynamicActions @0x832F07D4
0x01de XCustomUnregisterDynamicActions @0x832F07A4
0x01df XCustomGetCurrentGamercard @0x832F07C4
0x01ea XamAlloc @0x832F0A14
0x01ec XamFree @0x832F0A04
0x01f4 XMsgInProcessCall @0x832F0844
0x01f5 XMsgCompleteIORequest @0x832F18C4
0x01f6 XMsgSystemProcessCall @0x832F0EC4
0x01f7 XMsgStartIORequest @0x832F0864
0x01f8 XMsgCancelIORequest @0x832F07E4
0x01fb XamGetOverlappedResult @0x832F18B4
0x01fc XMsgStartIORequestEx @0x832F0CE4
0x0208 XamUserGetDeviceContext @0x832F0314
0x020a XamUserGetXUID @0x832F09D4
0x020e XamUserGetName @0x832F0DA4
0x0210 XamUserGetSigninState @0x832F0DB4
0x0211 XamUserGetIndexFromXUID @0x832F1784
0x0212 XamUserCheckPrivilege @0x832F0CD4
0x0213 XamUserAreUsersFriends @0x832F0DC4
0x0217 XamUserGetMembershipTierFromXUID @0x832F0A64
0x0218 XamUserGetOnlineCountryFromXUID @0x832F0A84
0x0219 XamUserReadProfileSettings @0x832F09C4
0x0227 XamUserGetSigninInfo @0x832F18A4
0x0231 XamProfileCreateEnumerator @0x832F16E4
0x0232 XamProfileEnumerate @0x832F16D4
0x024e XamCreateEnumeratorHandle @0x832F0A54
0x024f XamGetPrivateEnumStructureFromHandle @0x832F0A44
0x0250 XamEnumerate @0x832F0EB4
0x0259 XamContentCreateEx @0x832F0D04
0x025a XamContentClose @0x832F0D24
0x025b XamContentDelete @0x832F0D14
0x025c XamContentCreateEnumerator @0x832F0D64
0x025e XamContentGetDeviceData @0x832F0D84
0x0262 XamContentGetCreator @0x832F0D44
0x0265 XamContentGetDeviceState @0x832F0D74
0x0266 XamContentGetLicenseMask @0x832F0D54
0x0267 XamContentFlush @0x832F0D34
0x0268 XamContentResolve @0x832F0D94
0x0269 XamContentOpenFile @0x832F1724
0x0280 XamGetExecutionId @0x832F0F84
0x0282 XamGetSystemVersion @0x832F0894
0x028a XamNotifyCreateListener @0x832F0EE4
