# xboxkrnl.exe: 206 function imports (ordinal -> name -> thunk VA)
0x0001 DbgBreakPoint @0x832F1134
0x0003 DbgPrint @0x832F0734
0x0009 ExAllocatePool @0x832F14B4
0x000b ExAllocatePoolTypeWithTag @0x832F1374
0x000d ExCreateThread @0x832F13C4
0x000f ExFreePool @0x832F1384
0x0010 ExGetXConfigSetting @0x832F0674
0x0015 ExRegisterTitleTerminateNotification @0x832F0664
0x0019 ExTerminateThread @0x832F14E4
0x0021 FscSetCacheElementCount @0x832F10D4
0x0028 HalReturnToFirmware @0x832F14C4
0x002b InterlockedFlushSList @0x832F0334
0x002c InterlockedPopEntrySList @0x832F1A24
0x0034 IoCheckShareAccess @0x832F13F4
0x0035 IoCompleteRequest @0x832F1394
0x0037 IoCreateDevice @0x832F1354
0x0039 IoDeleteDevice @0x832F1364
0x003b IoDismountVolume @0x832F1474
0x003c IoDismountVolumeByFileHandle @0x832F14D4
0x0041 IoInvalidDeviceRequest @0x832F1324
0x0045 IoRemoveShareAccess @0x832F1414
0x0047 IoSetShareAccess @0x832F1404
0x004d KeAcquireSpinLockAtRaisedIrql @0x832F04A4
0x0052 KeBugCheck @0x832F0574
0x0053 KeBugCheckEx @0x832F12C4
0x005a KeDelayExecutionThread @0x832F10F4
0x005f KeEnterCriticalRegion @0x832F0654
0x0066 KeGetCurrentProcessType @0x832F0284
0x006b KeLockL2 @0x832F0584
0x006c KeUnlockL2 @0x832F0594
0x006f KeInitializeDpc @0x832F05A4
0x0072 KeInitializeMutant @0x832F15A4
0x007b KeInsertQueueDpc @0x832F04B4
0x007d KeLeaveCriticalRegion @0x832F0624
0x0081 KeQueryBasePriorityThread @0x832F1234
0x0083 KeQueryPerformanceFrequency @0x832F0514
0x0084 KeQuerySystemTime @0x832F1214
0x0087 KeReleaseMutant @0x832F1584
0x0089 KeReleaseSpinLockFromRaisedIrql @0x832F0494
0x008f KeResetEvent @0x832F0454
0x0090 KeRestoreFloatingPointState @0x832F15E4
0x0092 KeResumeThread @0x832F1604
0x0095 KeSaveFloatingPointState @0x832F15F4
0x0097 KeSetAffinityThread @0x832F1244
0x0099 KeSetBasePriorityThread @0x832F03A4
0x009a KeSetCurrentProcessType @0x832F0744
0x009b KeSetCurrentStackPointers @0x832F1A04
0x009d KeSetEvent @0x832F0364
0x00af KeWaitForMultipleObjects @0x832F0384
0x00b0 KeWaitForSingleObject @0x832F0464
0x00b1 KfAcquireSpinLock @0x832F0304
0x00b4 KfReleaseSpinLock @0x832F02D4
0x00b6 LDICreateDecompression @0x832F1644
0x00b7 LDIDecompress @0x832F1634
0x00b8 LDIDestroyDecompression @0x832F1654
0x00ba MmAllocatePhysicalMemoryEx @0x832F06F4
0x00bb MmCreateKernelStack @0x832F19C4
0x00bc MmDeleteKernelStack @0x832F19D4
0x00bd MmFreePhysicalMemory @0x832F0524
0x00be MmGetPhysicalAddress @0x832F04F4
0x00c2 MmMapIoSpace @0x832F1924
0x00c4 MmQueryAddressProtect @0x832F0484
0x00c5 MmQueryAllocationSize @0x832F1274
0x00c6 MmQueryStatistics @0x832F19F4
0x00c7 MmSetAddressProtect @0x832F1284
0x00cc NtAllocateVirtualMemory @0x832F12B4
0x00cd NtCancelTimer @0x832F1994
0x00ce NtClearEvent @0x832F0234
0x00cf NtClose @0x832F1024
0x00d1 NtCreateEvent @0x832F10A4
0x00d2 NtCreateFile @0x832F1094
0x00d4 NtCreateMutant @0x832F19E4
0x00d5 NtCreateSemaphore @0x832F1104
0x00d7 NtCreateTimer @0x832F19B4
0x00d9 NtDeviceIoControlFile @0x832F1084
0x00da NtDuplicateObject @0x832F14A4
0x00db NtFlushBuffersFile @0x832F1464
0x00dc NtFreeVirtualMemory @0x832F12D4
0x00df NtOpenFile @0x832F1054
